tf	target	weight
b0399	b0400	135.875
b2856	b2858	135.729
b1987	b2750	135.683
b1987	b2763	135.382
b1987	b2762	135.113
b1987	b2751	135.085
b1987	b2752	134.928
b3022	b3021	134.856
b3022	b2017	134.725
b3515	b3511	134.717
b1071	b1926	134.682
b2869	b1426	134.655
b1922	b1884	134.599
b4293	b1102	134.247
b4293	b3070	134.232
b4293	b0468	134.058
b3516	b4187	134
b0683	b4637	133.908
b1071	b4355	133.883
b1739	b3098	133.596
b2980	b1189	133.562
b1071	b4109	133.497
b3515	b3517	133.444
b3516	b1000	133.435
b2869	b2799	133.014
b4293	b0584	132.913
b4293	b2675	132.893
b1987	b2414	132.685
b0318	b0319	132.441
b2017	b3022	132.31
b1739	b2672	132.17
b3118	b3116	132.165
b4043	b2698	132.022
b1922	b1945	132.011
b1384	b2537	132.009
b2537	b2980	132.005
b4293	b0805	131.966
b4292	b1252	131.722
b3515	b0485	131.478
b3515	b4187	131.397
b4043	b3645	131.172
b2980	b2537	131.168
b1987	b2012	130.965
b4292	b3006	130.965
b1922	b1081	130.6
b2537	b1384	130.554
b3022	b4539	130.483
b1987	b1988	130.456
b4043	b1847	130.25
b2707	b2708	130.189
b3555	b2665	129.992
b1564	b2017	129.949
b3292	b3293	129.888
b0796	b0795	129.866
b3243	b3241	129.581
b4292	b2674	129.486
b4539	b1563	129.405
b2537	b0598	128.896
b4292	b1705	128.87
b3515	b1492	128.831
b2364	b2366	128.494
b1739	b2266	128.483
b4292	b2673	128.212
b4292	b3005	128.189
b2735	b2736	127.906
b4043	b4044	127.904
b1922	b1566	127.748
b4292	b1102	127.49
b4043	b0232	127.428
b1987	b1287	127.295
b1987	b2421	127.04
b4292	b0584	126.908
b0571	b0570	126.691
b3516	b3510	126.586
b4292	b0151	126.411
b3711	b3907	126.397
b4292	b0805	126.38
b4293	b4567	126.372
b4539	b3022	126.352
b1853	b2125	126.162
b2017	b1564	126.159
b3515	b1493	126.023
b3604	b2148	125.412
b3555	b4376	125.372
b4539	b1060	125.116
b3515	b3513	125.115
b3516	b3509	125.002
b2856	b2852	124.981
b3022	b1060	124.809
b4292	b0152	124.77
b1071	b4110	124.726
b1739	b0865	124.589
b1563	b2016	124.522
b3604	b2149	124.468
b3410	b3409	124.381
b4004	b4003	124.324
b1891	b1566	123.935
b1564	b4539	123.882
b2381	b2380	123.659
b0338	b0340	123.502
b2125	b1853	123.182
b2017	b3130	122.993
b1799	b1002	122.938
b1422	b1611	122.886
b4043	b0779	122.752
b2537	b3845	122.744
b3555	b2080	122.623
b3292	b4550	122.578
b2852	b2850	122.185
b4324	b3698	122.156
b1891	b1194	122.139
b1339	b1336	121.959
b1213	b1211	121.696
b4292	b0153	121.595
b1987	b0450	121.431
b1563	b1060	121.279
b4102	b4101	121.276
b1891	b4110	121.211
b1891	b4109	121.177
b3512	b3514	120.995
b3555	b2302	120.978
b2537	b3846	120.865
b0378	b0377	120.741
b3512	b0999	120.482
b4293	b1019	120.456
b1853	b2126	120.359
b4113	b4112	120.315
b4293	b0804	120.244
b3555	b3361	120.24
b2399	b2398	120.152
b3555	b2672	120.065
b1922	b1904	119.905
b4292	b2675	119.726
b1922	b1943	119.719
b2537	b2342	119.635
b3906	b3905	119.577
b0318	b0317	119.421
b0571	b0572	119.261
b1987	b0451	119.142
b1422	b1189	119.044
b3555	b2266	119.031
b2017	b3129	119.008
b4043	b1861	118.889
b4539	b3130	118.839
b1922	b1939	118.83
b2869	b1799	118.829
b1891	b4355	118.709
b2980	b1612	118.699
b1922	b1938	118.678
b1987	b1729	118.66
b4292	b3337	118.554
b2537	b4069	118.505
b3516	b3513	118.49
b0571	b0573	118.45
b2852	b3443	118.258
b1384	b1415	118.198
b1922	b1947	118.171
b2980	b0598	118.057
b0840	b0841	117.831
b1922	b4355	117.767
b1922	b1948	117.76
b1739	b3099	117.422
b1563	b2295	117.408
b4539	b1564	117.338
b2852	b2854	117.142
b1987	b1932	116.859
b1922	b1941	116.765
b1213	b1210	116.582
b1969	b1968	116.528
b3071	b2958	116.481
b1922	b1879	116.388
b1922	b1940	116.104
b4043	b0233	115.834
b1422	b1190	115.745
b1922	b4109	115.74
b1922	b1942	115.729
b3515	b0999	115.322
b4398	b4397	115.283
b4293	b2676	115.241
b1384	b3845	115.201
b4292	b1018	114.956
b3906	b3141	114.764
b1922	b1949	114.704
b2364	b2365	114.573
b2531	b2524	114.489
b0487	b4377	114.403
b3555	b4568	114.273
b1922	b1878	113.961
b1213	b1212	113.957
b1384	b3846	113.699
b0796	b0794	113.68
b4260	b4259	113.655
b3022	b3130	113.576
b3555	b1897	113.523
b4292	b4567	113.52
b3555	b3362	113.455
b1922	b1926	113.434
b4292	b3070	113.424
b4292	b0804	113.35
b4292	b0150	113.316
b1799	b1426	113.274
b3905	b3906	113.182
b2852	b2858	113.022
b0346	b2537	112.962
b2856	b3443	112.847
b1799	b4189	112.83
b1922	b1885	112.266
b3071	b3698	112.266
b1384	b1190	112.248
b2869	b0791	112.105
b4292	b4490	111.912
b2852	b2856	111.785
b1563	b0226	111.571
b3555	b1783	111.568
b2127	b1519	111.478
b3555	b3239	111.366
b0889	b0166	111.255
b1891	b1922	111.247
b4539	b3129	111.188
b3906	b3907	111.102
b2667	b2668	111.026
b1799	b3001	110.899
b1891	b1742	110.751
b0796	b0792	110.737
b3515	b3514	110.415
b2531	b2525	110.398
b0796	b0793	110.373
b3702	b3700	110.372
b2491	b2490	110.348
b3118	b3125	110.187
b1799	b2869	110.143
b1659	b1660	110.087
b1564	b2016	109.988
b4293	b2155	109.987
b1922	b1880	109.857
b2537	b1611	109.832
b1922	b1937	109.685
b3190	b3189	109.657
b3071	b2145	109.3
b3118	b3126	109.21
b0346	b2980	109.127
b1891	b0765	108.923
b1891	b1921	108.857
b1422	b1777	108.834
b3022	b2295	108.811
b1563	b3130	108.786
b1739	b1051	108.702
b2869	b0380	108.628
b1422	b1778	108.618
b3601	b3600	108.525
b1735	b1734	108.512
b3516	b0999	108.503
b4178	b4179	108.403
b3190	b3640	108.168
b0571	b0575	108.165
b2706	b2708	108.122
b3071	b2812	108.076
b0487	b4378	107.978
b1564	b1060	107.975
b1506	b2109	107.836
b1891	b1760	107.83
b2017	b1667	107.814
b4102	b4098	107.753
b3119	b3120	107.721
b2537	b4512	107.561
b2706	b4239	107.555
